,state_x,state_y,move_dir,throw_dir,Action,move_x,move_y,throw_dir_2,u,v
246,-4,10,3,none,MOVE,1,-1,-1000,0.1,-0.1
247,-4,10,4,none,MOVE,0,-1,-1000,0.0,-0.1
248,-4,10,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
249,-3,-10,0,none,MOVE,0,1,-1000,0.0,0.1
250,-3,-10,1,none,MOVE,1,1,-1000,0.1,0.1
251,-3,-10,7,none,MOVE,-1,1,-1000,-0.1,0.1
252,-3,-9,0,none,MOVE,0,1,-1000,0.0,0.1
253,-3,-9,1,none,MOVE,1,1,-1000,0.1,0.1
254,-3,-9,7,none,MOVE,-1,1,-1000,-0.1,0.1
255,-3,-8,0,none,MOVE,0,1,-1000,0.0,0.1
256,-3,-8,1,none,MOVE,1,1,-1000,0.1,0.1
257,-3,-8,7,none,MOVE,-1,1,-1000,-0.1,0.1
258,-3,-7,0,none,MOVE,0,1,-1000,0.0,0.1
259,-3,-7,1,none,MOVE,1,1,-1000,0.1,0.1
260,-3,-6,1,none,MOVE,1,1,-1000,0.1,0.1
261,-3,-5,1,none,MOVE,1,1,-1000,0.1,0.1
262,-3,-4,1,none,MOVE,1,1,-1000,0.1,0.1
263,-3,-3,1,none,MOVE,1,1,-1000,0.1,0.1
264,-3,-2,1,none,MOVE,1,1,-1000,0.1,0.1
265,-3,-1,1,none,MOVE,1,1,-1000,0.1,0.1
266,-3,0,none,90,THROW,-1000,-1000,90,0.1,0.0
267,-3,1,3,none,MOVE,1,-1,-1000,0.1,-0.1
268,-3,2,3,none,MOVE,1,-1,-1000,0.1,-0.1
269,-3,3,3,none,MOVE,1,-1,-1000,0.1,-0.1
270,-3,4,3,none,MOVE,1,-1,-1000,0.1,-0.1
271,-3,5,3,none,MOVE,1,-1,-1000,0.1,-0.1
272,-3,6,3,none,MOVE,1,-1,-1000,0.1,-0.1
273,-3,7,3,none,MOVE,1,-1,-1000,0.1,-0.1
274,-3,7,4,none,MOVE,0,-1,-1000,0.0,-0.1
275,-3,8,3,none,MOVE,1,-1,-1000,0.1,-0.1
276,-3,8,4,none,MOVE,0,-1,-1000,0.0,-0.1
277,-3,8,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
278,-3,9,3,none,MOVE,1,-1,-1000,0.1,-0.1
279,-3,9,4,none,MOVE,0,-1,-1000,0.0,-0.1
280,-3,9,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
281,-3,10,3,none,MOVE,1,-1,-1000,0.1,-0.1
282,-3,10,4,none,MOVE,0,-1,-1000,0.0,-0.1
283,-3,10,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
284,-2,-10,0,none,MOVE,0,1,-1000,0.0,0.1
285,-2,-10,1,none,MOVE,1,1,-1000,0.1,0.1
286,-2,-10,7,none,MOVE,-1,1,-1000,-0.1,0.1
287,-2,-9,0,none,MOVE,0,1,-1000,0.0,0.1
288,-2,-9,1,none,MOVE,1,1,-1000,0.1,0.1
289,-2,-9,7,none,MOVE,-1,1,-1000,-0.1,0.1
290,-2,-8,0,none,MOVE,0,1,-1000,0.0,0.1
291,-2,-8,1,none,MOVE,1,1,-1000,0.1,0.1
292,-2,-8,7,none,MOVE,-1,1,-1000,-0.1,0.1
293,-2,-7,0,none,MOVE,0,1,-1000,0.0,0.1
294,-2,-7,1,none,MOVE,1,1,-1000,0.1,0.1
295,-2,-7,7,none,MOVE,-1,1,-1000,-0.1,0.1
296,-2,-6,0,none,MOVE,0,1,-1000,0.0,0.1
297,-2,-6,1,none,MOVE,1,1,-1000,0.1,0.1
298,-2,-5,1,none,MOVE,1,1,-1000,0.1,0.1
299,-2,-4,1,none,MOVE,1,1,-1000,0.1,0.1
300,-2,-3,1,none,MOVE,1,1,-1000,0.1,0.1
301,-2,-2,1,none,MOVE,1,1,-1000,0.1,0.1
302,-2,-1,1,none,MOVE,1,1,-1000,0.1,0.1
303,-2,0,none,90,THROW,-1000,-1000,90,0.1,0.0
304,-2,1,3,none,MOVE,1,-1,-1000,0.1,-0.1
